,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2020/01/03 13:00:00+00,2.100000,48.500000,4,86.800000,135.300000,14,4.600000,2.100000,124.300000,154.100000,,1.400000,33,15.900000,2.300000,3.100000,1.100000,33.900000,3.800000,1,1,0.900000,2.900000,3.100000,2.400000,2.600000,2.200000,3.700000,3,2,0,0,1.300000,3.300000,37,1.100000,1.800000,3.200000,5.600000,1.100000,65
2020/01/03 14:00:00+00,3.400000,55.200000,8.400000,98,112,27.300000,5.700000,3,147.600000,158.500000,,1.900000,55.800000,22,2.700000,,1.200000,39.900000,6.400000,1.200000,1.600000,1.200000,3.500000,5.300000,3,4.100000,3.800000,5.500000,3.400000,3,0,0,2.600000,3.300000,46.800000,0.900000,2,3.300000,13.100000,1.200000,66
2020/01/03 15:00:00+00,2.900000,55.300000,8.100000,104.400000,85.800000,22.400000,5.300000,2.100000,129.100000,169.700000,,1.200000,36.400000,25.800000,2.500000,3.200000,1.100000,37.800000,5.100000,1,1.200000,1.300000,3.100000,4.300000,2.600000,3.400000,3.800000,5.200000,2.300000,2.700000,0,0,4.300000,2.800000,52.400000,0.900000,1.700000,2.500000,9,1,67
2020/01/03 16:00:00+00,2,60.900000,13.200000,98.900000,125.500000,19,5.100000,2.100000,125.400000,184.400000,,0.500000,61.600000,33.600000,2.400000,3.300000,0.700000,43.600000,5.300000,0.700000,1.200000,0.300000,4.800000,5.100000,2.300000,3.200000,3.300000,5.400000,2,2.600000,0,0,4.600000,3.200000,53.600000,1.300000,1,2.700000,10.700000,0.900000,68
2020/01/03 17:00:00+00,2.100000,74.200000,20.200000,117,141.100000,13.100000,4.500000,2.900000,121.500000,169.300000,,0.400000,43.700000,29.900000,2.300000,2.900000,0.600000,55.700000,5.700000,0.500000,1,1.100000,11.400000,4.100000,3.600000,2.700000,4.700000,5.500000,1.600000,3.200000,0,0,3.100000,3.700000,82,2,0.800000,5.700000,13.800000,0.600000,69
2020/01/03 18:00:00+00,5.500000,70.800000,19.400000,126.500000,110.700000,5.300000,5.600000,2.800000,99.600000,212.400000,,0.700000,31.100000,55.800000,3.100000,3,0.700000,47,5.800000,1,1,2.600000,8.400000,6.900000,3.500000,3.400000,7.900000,6.200000,1.600000,8.800000,0,0,4.300000,3.900000,65.200000,2,2.400000,5.200000,19.100000,0.700000,70
2020/01/03 19:00:00+00,1.600000,60.400000,18.400000,81.200000,96.500000,1.300000,2.600000,2.200000,91.200000,106.100000,,0.700000,5.900000,52.300000,2,1.300000,1,47.400000,4.700000,2.200000,1.400000,4.800000,3.700000,3.800000,3.400000,2.800000,7.600000,8.800000,1.600000,7.200000,0,0.100000,2.400000,5.400000,70.700000,1.400000,2.300000,4.600000,24.200000,1.500000,71
2020/01/03 20:00:00+00,1.300000,38.200000,9.300000,58.200000,59.900000,9,1.300000,0.400000,99.300000,48.300000,,1.100000,8,74.300000,1.200000,1.200000,0.800000,17.700000,4,1.700000,0.800000,0.800000,2.300000,3.900000,1.600000,2.400000,5.800000,5,1.600000,7.700000,0,3.700000,1.400000,2.800000,12.200000,1.200000,0.600000,1.800000,20.700000,1.100000,72
2020/01/03 21:00:00+00,0.500000,14.200000,7.400000,51.100000,59.400000,2.500000,0.700000,0.400000,84.400000,64,,0.600000,4.700000,55,0.100000,1.100000,0.900000,16.600000,3.200000,1.200000,1.200000,0.700000,3.800000,1.200000,1.500000,2,8.300000,2.900000,1,6.300000,0,3.500000,1.200000,2.200000,8,0.700000,0,1.600000,17.700000,0.900000,73
2020/01/03 22:00:00+00,0.200000,8.300000,6.200000,40.900000,45.600000,12.700000,0.300000,0.200000,86.900000,52.200000,,0.700000,5.600000,56.100000,0,0.900000,0.900000,9.100000,2.700000,1.300000,0.800000,0.200000,3.200000,1.600000,0.500000,2.200000,8.500000,2.700000,0.700000,5.400000,0,4.300000,1.200000,1.700000,5.200000,0.600000,0.400000,1.500000,9.500000,0.500000,74
2020/01/03 23:00:00+00,0,12.300000,5,28.700000,36.200000,10.500000,0.500000,0.100000,74.600000,34.700000,,0.300000,3,60.800000,0,0.600000,1.100000,10.200000,2.100000,0.600000,1.500000,0,1.400000,1.200000,0.500000,1.300000,2.800000,1.800000,0.400000,3.800000,0.100000,1.600000,0.900000,1.600000,1.400000,0.500000,0,1.200000,8.900000,0.300000,75
2020/01/04 00:00:00+00,0,8.500000,4.500000,24.200000,39.400000,5.200000,0.500000,0,99.300000,36.600000,,0.300000,5.500000,26,0,0.400000,0.900000,13.700000,1.200000,1,0.800000,0,2.700000,0.800000,0.700000,1.500000,1.900000,2.800000,0.500000,3.400000,0,3.100000,0.800000,1.600000,4.100000,0.100000,0.300000,1.700000,12.600000,0.400000,76
2020/01/04 01:00:00+00,0,7.900000,4.100000,15.400000,26.400000,5.500000,0.200000,0.200000,111.800000,32.900000,,0.400000,3.100000,18.200000,0,0.600000,0.600000,5.800000,1.400000,0.800000,0.800000,0,1.800000,0.400000,0.500000,1.800000,1,1.300000,0.500000,2.900000,0,0,0.900000,1.300000,0.800000,0.200000,0,1.100000,6.500000,0.200000,77
2020/01/04 02:00:00+00,0,4.900000,5.400000,18.400000,29.400000,5.200000,0.900000,0.600000,140.300000,71,,0.700000,4.400000,19.100000,0,0.400000,0.500000,15.600000,2.200000,0.900000,0.500000,0,1.900000,0.800000,0.300000,2,0.800000,1.900000,0.400000,2,0,1.600000,1.200000,1.200000,4.500000,0.200000,0.100000,1.500000,11.300000,0.300000,78
2020/01/04 03:00:00+00,0,4.500000,3.600000,7.700000,37,2.700000,2.900000,0.700000,126,103.900000,,0.500000,4.300000,12.900000,0.900000,0.400000,0.800000,13,2.600000,0.800000,1.400000,0,2.700000,0.600000,0.600000,2,0.700000,2.400000,0.500000,1.300000,0,2,1.200000,2.800000,3.300000,0.100000,1,1.200000,8.600000,0.500000,79
2020/01/04 04:00:00+00,0,12,4.700000,6.200000,44.700000,1.400000,2.700000,1,150,143.600000,,0.600000,7.900000,9.900000,0,0.200000,0.600000,10.500000,6.700000,1.500000,1.500000,0,6.500000,0.500000,3.200000,2.900000,0.700000,2.300000,0.400000,1.700000,0,4.300000,1.200000,3.100000,3.300000,0.200000,0.400000,1.900000,12.700000,0.400000,80
2020/01/04 05:00:00+00,0,15.700000,4.600000,19.200000,54.600000,7.400000,6,1.900000,185.900000,187,,0.400000,17.100000,30.600000,12.900000,0.600000,0.900000,11,4.400000,1.200000,5.700000,0,9.900000,0.800000,2.300000,5.100000,5.300000,4.700000,0.400000,2.600000,0,0.700000,2.100000,8,6.500000,0.600000,4.200000,4.300000,22,0.300000,81
2020/01/04 06:00:00+00,0.900000,39.200000,5.200000,34.100000,50.600000,12.300000,10.800000,3.400000,202.800000,211.300000,,0.800000,10.600000,54.100000,21.500000,3.800000,0.700000,16.100000,6.500000,2.500000,6.800000,7.100000,13.100000,3.300000,5.800000,7.400000,1.800000,6.600000,0.700000,5.800000,0,0.800000,7.500000,13.600000,12.500000,1.600000,7.500000,6,24.900000,0.400000,82
2020/01/04 07:00:00+00,2.700000,44,25.100000,53.500000,115.100000,31.500000,21.600000,7.600000,197.300000,230.500000,,3.100000,18.900000,81.600000,31.700000,2.800000,1,28.100000,13,4.100000,5.500000,33.700000,31.400000,7.400000,4.800000,11.900000,3.900000,9.900000,9.900000,11.100000,0.600000,0,12,24,26,12.200000,14.500000,53.200000,36.400000,0.600000,83
2020/01/04 08:00:00+00,3.400000,35.100000,91.800000,71.800000,138.800000,98.200000,16.800000,8.800000,205.600000,263.100000,,8.900000,41.100000,59,45.400000,4.400000,0.800000,42.400000,10.200000,11.300000,17.100000,32.400000,70.900000,10,9.100000,23.400000,9.500000,24.800000,34.900000,9.600000,0.400000,0.100000,16.800000,32.900000,30.700000,17.800000,54.200000,33,38.800000,1.200000,84
2020/01/04 09:00:00+00,7.200000,39.100000,24.900000,85.800000,178.800000,24.100000,27,8.700000,199.200000,236.400000,,14.400000,30.600000,49.600000,58,6.900000,0.700000,46.700000,17,14.400000,63.900000,27.600000,107.900000,15.900000,25.100000,14.600000,13.500000,19.500000,13,15.400000,1.600000,0.200000,31,40.900000,35.200000,15.400000,53.300000,44.100000,44.500000,3.300000,85
2020/01/04 10:00:00+00,9.700000,53.300000,23.600000,84.300000,220.700000,10.200000,16.900000,9.800000,174.700000,243.900000,,17.200000,38.700000,46.900000,54.800000,8.200000,1.200000,33,26.200000,14.400000,26.700000,35,57.600000,12.100000,13,11.400000,13.200000,16.400000,11.100000,13.500000,1.300000,1.500000,21.900000,32.700000,38,14.500000,37.400000,29.900000,40.800000,5.600000,86
2020/01/04 11:00:00+00,8.400000,51.600000,14.200000,93,161.300000,12.400000,13.200000,9.100000,171.200000,261.900000,,14.100000,36.800000,72.700000,31.100000,7.600000,1.500000,42.600000,19.100000,10.800000,12.200000,26.400000,40.300000,9.800000,8.600000,8.500000,16.800000,18.300000,11.400000,13,1.300000,0.900000,15,18.600000,39.400000,12,12.600000,11.700000,30.200000,4.400000,87
2020/01/04 12:00:00+00,7.100000,63.900000,13.100000,64.800000,101.900000,10,8.800000,8.300000,145.200000,175.800000,,7.700000,23,33.900000,10.100000,5.300000,3.400000,25.200000,10.400000,8.900000,8.500000,12.300000,8.600000,7.300000,8,6,9.600000,14.200000,7.400000,11,2.200000,1.100000,10.300000,14.700000,32,7.800000,9.100000,13.400000,33.600000,4,88
2020/01/04 13:00:00+00,4.200000,25.800000,16.100000,66.800000,97.700000,5,7.100000,4.500000,113.700000,153.600000,,4.500000,20.200000,52.800000,3.900000,3.700000,2.300000,30.200000,6,5.100000,4.300000,4.200000,14.900000,4,5,4.600000,6.600000,12.100000,3.500000,8.400000,0.800000,3.100000,5.500000,7.600000,29.400000,3.600000,5.500000,4,20,4.300000,89
2020/01/04 14:00:00+00,2,19.200000,20,48.800000,101.700000,4.600000,4.100000,3.600000,126.200000,172.300000,,3.200000,20.200000,59,3.700000,1.500000,1.600000,28.300000,4.100000,2.900000,2.100000,3.300000,7.100000,2.500000,2.500000,3.200000,9.800000,9,2.100000,7.600000,0.100000,3.100000,3.900000,5.800000,22.100000,1.900000,4.500000,4.200000,25.500000,3,90
2020/01/04 15:00:00+00,1.300000,19.400000,11.800000,57.700000,159.900000,7,4.400000,3.100000,133.300000,193.700000,,1.200000,21.700000,48.100000,1.700000,1.500000,0.900000,33.800000,2.700000,2.100000,1.200000,1.400000,5.300000,1.900000,1.800000,3.800000,6.600000,8.200000,1.300000,5.600000,0.100000,1.500000,3.500000,3.700000,22.500000,1.100000,2.700000,3.500000,24.900000,2.700000,91
2020/01/04 16:00:00+00,2.300000,26.100000,15,82.300000,177.300000,1.500000,6.900000,2.300000,140.100000,200.300000,,0.600000,39.800000,52.600000,1.200000,1.700000,0.900000,33.200000,4.100000,1.400000,1.200000,0.900000,7.300000,2,2.600000,3.600000,7.900000,7.400000,1.300000,5.800000,1,1.400000,2.500000,4.200000,36.100000,1.900000,3.900000,5.800000,28.600000,0.800000,92
2020/01/04 17:00:00+00,3.300000,65,16.300000,81.400000,247.400000,2.300000,6.500000,2.100000,145.300000,179.100000,,0.500000,26.300000,41.600000,0.900000,1.700000,0.700000,49.700000,5.300000,1.200000,1.200000,0.500000,4.700000,4.700000,3.100000,3.300000,5.900000,7.700000,0.800000,5.900000,0.800000,0,2.300000,4.200000,48.400000,1.300000,2.300000,4.600000,25.900000,0.500000,93
2020/01/04 18:00:00+00,6.600000,55.800000,20.300000,101.200000,290.500000,1.700000,6.700000,3.200000,166.300000,223.500000,,0.500000,35.800000,76.300000,1.800000,2.100000,0.800000,47.900000,7.100000,1.500000,1,0.600000,6.400000,5.500000,3.400000,5.100000,10.200000,10.500000,1.100000,6,0.300000,0,4.500000,5.200000,87.300000,1.600000,3.600000,5.200000,37.100000,0.500000,94
2020/01/04 19:00:00+00,2.900000,45.300000,13.600000,94.900000,266.700000,1.700000,7.100000,3,148,212.500000,,0.500000,30.800000,91,1.200000,1.800000,1,44.900000,10.200000,2.100000,1.500000,0.900000,5.500000,7.700000,4.900000,4.900000,6.100000,10.600000,1,5,0.200000,0,3.400000,9.800000,71,1.800000,4.100000,4.300000,32.300000,0.700000,95
2020/01/04 20:00:00+00,2.100000,41.400000,10.200000,73.900000,180.800000,3.800000,5.400000,1.600000,150.500000,165.900000,,0.500000,22.900000,84.100000,1.400000,1.500000,0.700000,45.100000,4.700000,2.200000,0.800000,0.800000,2.700000,4,6.200000,3.500000,7,12.900000,1.200000,7.400000,0.100000,1.800000,2.200000,3.900000,33.500000,1.300000,0.900000,3.400000,17.100000,0.800000,96
2020/01/04 21:00:00+00,1.300000,29.900000,7.300000,41.800000,130.300000,2.300000,3.900000,1.200000,136.400000,167.800000,,0.900000,10.600000,53.300000,0.800000,1.300000,0.700000,39.200000,5,1.900000,1.200000,0.500000,2.200000,2.500000,1.900000,3.500000,4.700000,7.900000,0.600000,8.500000,0.100000,1.500000,2.100000,2,19.100000,1,0.500000,1.900000,19,0.500000,97
2020/01/04 22:00:00+00,0,17.800000,4.900000,38.200000,102.400000,1.200000,3.100000,1,117.600000,133.100000,,0.600000,9,56.500000,0.100000,0.500000,0.900000,33,4.300000,0.800000,1.800000,0,1.800000,2.100000,1.400000,2.200000,9.700000,5.400000,0.500000,4.500000,0.100000,0.400000,1.500000,2,12.500000,0,0.100000,2,16.700000,0.500000,98
2020/01/04 23:00:00+00,0,17.200000,5.300000,43.800000,96.900000,11.100000,2.600000,1.100000,153.600000,126.600000,,0.600000,7,77.100000,0,0.400000,0.700000,36.700000,3.100000,1.200000,1.400000,0,4.300000,0.900000,0.800000,1.700000,3.700000,2.800000,0.400000,5.500000,0.100000,0.400000,1.500000,2.700000,13.300000,0.100000,0.300000,0.900000,17.100000,0.300000,99
2020/01/05 00:00:00+00,0,14.500000,7.100000,37.300000,62.100000,12,2.900000,1.600000,159.900000,171,,0.700000,27.700000,61.900000,0,0.100000,0.600000,28.200000,3.700000,2,1.400000,0.100000,5.700000,1.400000,3.100000,1.600000,2.100000,3.600000,0.400000,4.300000,0.100000,0,1.300000,4,11.800000,0.200000,0.800000,2,23.400000,0.300000,100
2020/01/05 01:00:00+00,0,10.800000,6.600000,33.800000,63.700000,16.700000,2.400000,0.500000,147.500000,159.200000,,0.600000,8,53.200000,0.200000,0.300000,1.200000,32.400000,3.700000,0.900000,1.500000,0.300000,5.500000,0.800000,1.600000,1.900000,2.200000,2.600000,0.500000,3.100000,0.100000,0,1.700000,4.900000,9.800000,0.300000,0.800000,1.800000,15.400000,0.200000,101
2020/01/05 02:00:00+00,0,16.200000,3.700000,27.600000,31.600000,4.700000,1.200000,0.600000,89.500000,208.500000,,0.600000,19.800000,36.800000,12.200000,0.400000,1,22.700000,5.700000,1.400000,1.200000,0,6.200000,0.800000,1.500000,1.900000,0.800000,3.800000,0.300000,1.800000,0.100000,0.900000,1.700000,4.800000,8.400000,0.200000,0.700000,1.100000,16.600000,0.400000,102
2020/01/05 03:00:00+00,,8.400000,3.400000,16.700000,35.100000,7.400000,1.100000,0.600000,91,135.300000,,0.600000,30.300000,24.300000,12.900000,0.300000,0.800000,13.900000,3.200000,0.500000,1,0.200000,3.600000,0.800000,1.300000,1.600000,0.500000,2.300000,0.500000,1.300000,0.200000,1.500000,1.200000,4.700000,6.900000,0,0.400000,1.100000,15.100000,0.300000,103
2020/01/05 04:00:00+00,0.100000,8.600000,2.200000,18,46.200000,2.200000,0.800000,0.600000,61.300000,140,,0.600000,20.400000,13.300000,12.400000,0.300000,0.700000,11.700000,4.500000,0.900000,1.400000,5,2.600000,0.900000,1.100000,1.700000,0.300000,2.100000,0.500000,1.200000,0.200000,0,1.800000,2.700000,6.800000,0.100000,0.600000,0.800000,16.900000,0.200000,104
2020/01/05 05:00:00+00,0,10,2.100000,19.200000,74,18.700000,1.400000,0.700000,76.200000,123.500000,,0.900000,17.900000,34.600000,7.300000,0.500000,1.100000,13.600000,4.600000,1.300000,1.200000,15.600000,1.800000,1,1.400000,1.600000,0.300000,1.800000,0.800000,1.100000,0.200000,0,1.600000,5.400000,6.700000,0,0.100000,0.600000,13.900000,0.200000,105
2020/01/05 06:00:00+00,0.300000,12.700000,13.300000,21.300000,71.100000,63.400000,3.100000,2.400000,94,137.700000,,2.400000,4.800000,23.700000,7,1.100000,1.100000,9.900000,4.400000,1.400000,3,13.300000,3.400000,0.800000,1.700000,3.200000,1.200000,4.800000,1.200000,1,0.100000,0,1.800000,4.700000,6.600000,0.400000,0.200000,4,27.300000,0.300000,106
2020/01/05 07:00:00+00,0.100000,19.900000,40.100000,23.100000,86.100000,98.600000,2.800000,2.800000,87.900000,139.200000,,4.500000,19.800000,23.600000,8.600000,1.600000,1.100000,10.300000,4.600000,1.900000,4.100000,10.700000,2.500000,1.400000,2.700000,2.700000,1.600000,4.700000,1.500000,2.700000,0.100000,0,3.100000,5.400000,9.600000,0.400000,8.200000,4.700000,34.600000,0.300000,107
2020/01/05 08:00:00+00,1.100000,26.100000,32.200000,32.800000,112.900000,66.600000,9.200000,1.100000,123.400000,155.200000,,10,22.700000,37.900000,9,1,0.900000,15.200000,5,1.400000,3.300000,12.100000,3.800000,1.600000,3.900000,4.200000,3.200000,7.900000,1,4.100000,0.100000,2.300000,4.500000,17.900000,14.800000,0.200000,18.100000,4.100000,28.500000,0.500000,108
2020/01/05 09:00:00+00,1.100000,33.300000,16.900000,52.500000,163.700000,47.500000,5.600000,3.700000,160.200000,194,,20.200000,17.100000,44.800000,17.400000,1.200000,0.800000,14.600000,5.300000,1.900000,1.700000,18.400000,7,3.400000,5.100000,4.900000,4.900000,3.300000,1.600000,8.100000,0.400000,1.800000,4.800000,45.500000,11.700000,1.700000,36,8.300000,18.800000,1,109
2020/01/05 10:00:00+00,2.300000,72.900000,11.600000,63.900000,193.400000,24.100000,4.900000,3.700000,143.400000,205.700000,,15.200000,35.600000,65.900000,19,2,0.900000,15.400000,9.400000,3,3.700000,21.300000,5.300000,4.800000,8.700000,5.600000,5.300000,7.700000,2.700000,8,0.300000,3.100000,7.300000,37.700000,24.900000,2.300000,42.100000,15.600000,35.300000,1.600000,110
2020/01/05 11:00:00+00,5.700000,76.700000,14.900000,67.800000,177.900000,89.200000,8.100000,3.900000,140.400000,176.100000,,4.100000,28.600000,103.400000,18.400000,2,1.100000,14.500000,8.900000,4.800000,9,24.500000,9.600000,5.800000,12.200000,6.900000,7.600000,9.200000,2.200000,8.200000,0.300000,4.600000,6.700000,39.900000,18.900000,2.800000,32.200000,12.300000,50.300000,2.300000,111
2020/01/05 12:00:00+00,2.700000,81,17.700000,63.700000,111.200000,157.900000,8.400000,5.500000,117,173,,4.800000,38.200000,87.300000,20.800000,2,2.900000,21.200000,8.600000,7.900000,5.400000,21,6.700000,3.400000,19.500000,5.500000,11.100000,12.200000,3.800000,10.200000,0,6.300000,8.700000,9.900000,21.200000,1.400000,12.600000,10.400000,28.700000,2,112
2020/01/05 13:00:00+00,0.900000,40.100000,19.200000,80.700000,116,93.500000,6.300000,11.700000,102.300000,111.900000,,10.400000,31.100000,62.700000,15.700000,2,3.300000,14,6.700000,4.700000,6.700000,13.500000,4.200000,1.400000,13.200000,5.200000,9.200000,6.100000,3.200000,16.600000,0,3.600000,8.800000,8.500000,18.800000,0.700000,4.700000,7.200000,35.800000,3.400000,113
2020/01/05 14:00:00+00,0,49.900000,15.700000,60.400000,102.200000,44.400000,3.800000,7,86.100000,132.600000,,3.600000,31,71.600000,5.600000,3,2.700000,13.600000,2.500000,2,2,10.200000,6.500000,0.500000,3.100000,4.100000,11.500000,4,0.800000,10.100000,0,2.400000,7.100000,8,19.500000,0.400000,2,7.200000,36.400000,2.800000,114
2020/01/05 15:00:00+00,0,46.300000,7.200000,65.200000,118.300000,155.300000,4,2.500000,120.800000,120.600000,,1.600000,34.500000,92.800000,0.900000,2.800000,1.500000,7.900000,1.900000,2.800000,1,3.800000,6.100000,1.200000,2.100000,2.300000,6.500000,2.600000,0.700000,4.700000,0,0,3.500000,6.800000,10.500000,0.300000,2.900000,8.400000,31.600000,0.400000,115
2020/01/05 16:00:00+00,0,57.500000,6.700000,86.500000,123,168.400000,3.200000,1.700000,170.300000,120.700000,,2,34.200000,78.500000,0.100000,0.700000,1,7.100000,2.600000,3.200000,1.700000,0.100000,10,1,7,1.300000,4.800000,2.400000,0.900000,3,0,0,2.900000,4.700000,18.700000,0.900000,4.500000,4.500000,60.200000,0.200000,116
2020/01/05 17:00:00+00,0.200000,80.100000,7.100000,101.900000,130.600000,149.900000,2.400000,1.200000,150.200000,132.600000,,1.200000,51.600000,82.500000,0.100000,1.100000,1,5.700000,1.300000,3.800000,4.600000,0.200000,9.500000,1.200000,3.600000,1.700000,0.600000,1.900000,0.900000,3,0.200000,0,3.600000,4.300000,47.100000,0.800000,3.700000,2.500000,73.800000,0.200000,117
2020/01/05 18:00:00+00,0,83.700000,10.800000,73.800000,158.200000,162.300000,6.400000,3.600000,76.500000,89.900000,,1.600000,43.100000,69.100000,0.500000,2.300000,1,28.100000,2.500000,10.500000,3.700000,0.200000,18.200000,1.200000,6.200000,3.900000,0.700000,2,1.200000,4.900000,0,0,7,5.300000,64.200000,0.600000,9.200000,3.200000,91.100000,0.600000,118
2020/01/05 19:00:00+00,0.600000,61,10.200000,63.900000,118.900000,155.800000,7.800000,2.500000,53.500000,82.600000,,1.100000,22.200000,71.300000,0.200000,7.700000,0.800000,45.900000,2.600000,8.500000,2.400000,0,12.600000,1.500000,4.900000,4.300000,0.600000,1.800000,0.700000,4.300000,0,0,5.100000,3.900000,55.400000,1,3.600000,0.700000,61.900000,0.900000,119
2020/01/05 20:00:00+00,0,87.100000,4.200000,48.700000,112.900000,136.100000,4.700000,3.900000,47.900000,97.900000,,0.400000,33.700000,49.800000,1.400000,5,0.700000,14.600000,1.700000,4.500000,2.700000,0.500000,15.600000,0.800000,4.200000,3.100000,0.500000,1.400000,1.100000,2.400000,0,0,3.700000,3,48.700000,1.400000,2.200000,0.900000,95,0.600000,120
2020/01/05 21:00:00+00,0.100000,75.600000,5.500000,39.500000,90.800000,120.800000,8.500000,2,41,122.700000,,0.300000,35.500000,48.800000,0.800000,1.700000,0.800000,14.100000,1.700000,1.700000,3,0,14.300000,1.200000,2.600000,2.700000,0.400000,0.900000,0.700000,1.800000,0,0,0.900000,1.800000,23.900000,0.700000,0.400000,1.200000,54.500000,0.400000,121
2020/01/05 22:00:00+00,0,49.600000,1.400000,19.800000,107.900000,93.500000,6.100000,1.100000,38.500000,66.600000,,0.700000,18,41.900000,0,1.400000,0.800000,8.300000,2.700000,1.700000,0.600000,0,5.100000,1.100000,3.800000,2.500000,0.500000,0.700000,0.400000,1.800000,0,0,0.200000,2,22.500000,0.100000,1.600000,0.900000,38.700000,0.100000,122
